mpg,engine,horse,weight
30,98,65,2380
33,105,74,2190
34,107,75,2210
32,108,75,2350
33,119,100,2615
32,120,74,2635
28,141,80,3230
31,145,76,3160
25,168,116,2900
24,146,120,2930
22,231,110,3415
27,350,105,3725
20,200,88,3060
18,225,85,3465
28,112,88,2605
27,112,88,2640
34,112,88,2395
31,112,85,2575
29,135,84,2525
27,151,90,2735
24,140,92,2865
36,105,74,1980
37,91,68,2025
31,91,68,1970
38,105,63,2125
36,98,70,2125
36,120,88,2160
36,107,75,2205
34,108,70,2245
38,91,67,1965
32,91,67,1965
38,91,67,1995
25,181,110,2945
38,262,85,3015
26,156,92,2585
22,232,112,2835
32,144,96,2665
36,135,84,2370
27,151,90,2950
27,140,86,2790
44,97,52,2130
32,135,84,2295
28,120,79,2625
31,119,82,2720
